Use of Digital Object Identifier for United States,Count,Percentage,Percentage in 2017,Difference with previous year
1 (None at all),,,,
2,9.0,6.521739130434782,6.382978723404255,0.13876040703052706
3,8.0,5.797101449275362,10.638297872340425,-4.841196423065063
4,1.0,0.7246376811594203,4.25531914893617,-3.5306814677767497
5,11.0,7.971014492753622,25.53191489361702,-17.5609004008634
6,5.0,3.6231884057971016,6.382978723404255,-2.7597903176071537
7,6.0,4.3478260869565215,8.51063829787234,-4.162812210915819
8,7.0,5.072463768115942,21.27659574468085,-16.20413197656491
9,5.0,3.6231884057971016,6.382978723404255,-2.7597903176071537
10 (All the time),7.0,5.072463768115942,,
