Highest level of education for United Kingdom,Count,Percentage,Percentage in 2017,Difference with previous year
Doctorate,166,70.33898305084746,67.88617886178862,2.4528041890588383
Master degree,48,20.33898305084746,22.35772357723577,-2.01874052638831
Undergraduate degree,21,8.898305084745763,9.34959349593496,-0.4512884111891964
GSCEs,1,0.423728813559322,,
