Open source use for Australia,Count,Percentage
1 (None at all),,
2,3.0,3.4090909090909087
3,4.0,4.545454545454546
4,,
5,6.0,6.8181818181818175
6,5.0,5.681818181818182
7,3.0,3.4090909090909087
8,14.0,15.909090909090908
9,10.0,11.363636363636363
10 (All the time),35.0,39.77272727272727
