Where the previous job was based for United States,Count,Percentage,Percentage in 2017,Difference with previous year
University,76,53.90070921985816,48.40764331210191,5.493065907756247
Private company,40,28.368794326241137,22.929936305732486,5.4388580205086505
National laboratory,8,5.673758865248227,6.369426751592357,-0.6956678863441299
Other,7,4.964539007092199,,
Non-profit organization,6,4.25531914893617,,
Government,4,2.8368794326241136,,
