Use of Digital Object Identifier for World,Count,Percentage
1 (None at all),,
2,1.0,2.4390243902439024
3,,
4,3.0,7.317073170731707
5,7.0,17.073170731707318
6,1.0,2.4390243902439024
7,,
8,1.0,2.4390243902439024
9,1.0,2.4390243902439024
10 (All the time),6.0,14.634146341463413
