Number of time per year providing training for Netherlands (without 95 percentile),Results in 2018,Results in 2017
count,47.0,40.0
mean,1.2553191489361701,1.9300000000000002
std,1.5529506992144226,1.4853472355837911
min,0.0,0.0
25%,0.0,1.0
50%,1.0,2.0
75%,2.0,2.0
max,5.0,8.0
