developing code for others for South Africa,Count,Percentage,Percentage in 2017,Difference with previous year
0 - Mostly me,3,13.043478260869565,15.789473684210526,-2.745995423340961
1,4,17.391304347826086,26.31578947368421,-8.924485125858123
2,4,17.391304347826086,21.052631578947366,-3.6613272311212803
3,6,26.08695652173913,21.052631578947366,5.034324942791763
4,1,4.3478260869565215,5.263157894736842,-0.9153318077803201
5 - Mostly other people,5,21.73913043478261,10.526315789473683,11.212814645308926
