Use of version control for South Africa,Count,Percentage,Percentage in 2017,Difference with previous year
Git,17.0,73.91304347826086,,
SVN,3.0,13.043478260869565,10.526315789473683,2.5171624713958813
None,3.0,13.043478260869565,15.789473684210526,-2.745995423340961
CVS,0.0,0.0,5.263157894736842,-5.263157894736842
Mercurial,0.0,0.0,0.0,0.0
