Bus factor for United Kingdom,Count,Percentage
0.0,5,2.336448598130841
1.0,82,38.31775700934579
2.0,77,35.981308411214954
3.0,21,9.813084112149532
4.0,14,6.5420560747663545
5.0,4,1.8691588785046727
6.0,3,1.4018691588785046
7.0,3,1.4018691588785046
8.0,1,0.46728971962616817
9.0,1,0.46728971962616817
10.0,1,0.46728971962616817
11.0,1,0.46728971962616817
700.0,1,0.46728971962616817
