developing code for others for Netherlands,Count,Percentage,Percentage in 2017,Difference with previous year
0 - Mostly me,3,5.555555555555555,5.333333333333334,0.22222222222222143
1,7,12.962962962962962,6.666666666666667,6.296296296296295
2,5,9.25925925925926,20.0,-10.74074074074074
3,13,24.074074074074073,21.333333333333336,2.740740740740737
4,14,25.925925925925924,22.666666666666664,3.2592592592592595
5 - Mostly other people,12,22.22222222222222,24.0,-1.7777777777777786
