developing code for others for United States,Count,Percentage,Percentage in 2017,Difference with previous year
0 - Mostly me,3,2.0408163265306123,3.6809815950920246,-1.6401652685614123
1,16,10.884353741496598,8.588957055214724,2.295396686281874
2,22,14.965986394557824,12.269938650306749,2.696047744251075
3,24,16.3265306122449,28.22085889570552,-11.89432828346062
4,31,21.08843537414966,21.472392638036812,-0.3839572638871509
5 - Mostly other people,51,34.69387755102041,25.766871165644172,8.927006385376234
