Operating systems for Germany,Count,Percentage,Percentage in 2017,Difference with previous year
GNU/Linux,164,58.362989323843415,60.08064516129033,-1.7176558374469124
Windows,84,29.8932384341637,22.58064516129032,7.312593272873379
OS X,28,9.9644128113879,14.919354838709678,-4.954942027321778
Other,5,1.7793594306049825,2.4193548387096775,-0.639995408104695
