Number of software projects for Germany,Count,Percentage,Percentage in 2017,Difference with previous year
0.0,4,1.4285714285714286,1.6666666666666667,-0.23809523809523814
1.0,48,17.142857142857142,24.666666666666668,-7.5238095238095255
2.0,84,30.0,23.333333333333332,6.666666666666668
3.0,77,27.500000000000004,24.0,3.5000000000000036
4.0,32,11.428571428571429,9.0,2.428571428571429
5.0,20,7.142857142857142,8.666666666666668,-1.5238095238095255
6.0,7,2.5,2.0,0.5
7.0,1,0.35714285714285715,0.6666666666666667,-0.3095238095238096
8.0,3,1.0714285714285714,1.3333333333333335,-0.2619047619047621
9.0,1,0.35714285714285715,,
10.0,2,0.7142857142857143,3.3333333333333335,-2.619047619047619
20.0,1,0.35714285714285715,0.33333333333333337,0.02380952380952378
