Reasons to choose current job,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8
Desire to work in a research environment,28.57142857142857,15.306122448979592,12.371134020618557,10.309278350515463,9.278350515463918,,,
Freedom to choose own working practices,17.346938775510203,11.224489795918368,9.278350515463918,13.402061855670103,8.24742268041237,,,
Desire to advance research,15.306122448979592,14.285714285714285,16.49484536082474,12.371134020618557,10.309278350515463,,,
Opportunity to develop software,12.244897959183673,11.224489795918368,12.371134020618557,10.309278350515463,11.34020618556701,,,
Ability to work across disciplines,7.142857142857142,11.224489795918368,8.24742268041237,7.216494845360824,10.309278350515463,,,
I want to learn new skills,7.142857142857142,13.26530612244898,9.278350515463918,13.402061855670103,14.432989690721648,,,
Opportunity for career advancement,6.122448979591836,6.122448979591836,10.309278350515463,9.278350515463918,13.402061855670103,,,
Flexible working hours,5.1020408163265305,12.244897959183673,10.309278350515463,11.34020618556701,13.402061855670103,,,
The salary,1.0204081632653061,5.1020408163265305,11.34020618556701,12.371134020618557,9.278350515463918,,,
