Where the previous job was based for New Zealand,Count,Percentage
University,14,40.0
Private company,8,22.857142857142858
Government,5,14.285714285714285
Non-profit organization,4,11.428571428571429
National laboratory,3,8.571428571428571
Other,1,2.857142857142857
