Number of software projects for New Zealand,Count,Percentage
0.0,1,3.125
1.0,3,9.375
2.0,7,21.875
3.0,10,31.25
4.0,1,3.125
5.0,7,21.875
6.0,2,6.25
8.0,1,3.125
