How many years of software development experience for South Africa (without 95 percentile),Results in 2018,Results in 2017
count,21.0,18.0
mean,7.285714285714286,15.38888888888889
std,5.395765535518173,11.707910291708457
min,0.0,2.0
25%,4.0,5.5
50%,5.0,13.5
75%,10.0,21.5
max,20.0,40.0
