Number of software developers per projects for Germany,Count,Percentage
0.0,6,2.1201413427561837
1.0,82,28.975265017667844
2.0,96,33.92226148409894
3.0,48,16.96113074204947
4.0,21,7.420494699646643
5.0,14,4.946996466431095
6.0,5,1.76678445229682
7.0,1,0.35335689045936397
8.0,1,0.35335689045936397
10.0,5,1.76678445229682
15.0,1,0.35335689045936397
20.0,2,0.7067137809187279
30.0,1,0.35335689045936397
