Where the previous job was based for United Kingdom,Count,Percentage,Percentage in 2017,Difference with previous year
University,138,64.7887323943662,49.166666666666664,15.622065727699542
Private company,43,20.187793427230048,25.833333333333336,-5.645539906103288
Other,13,6.103286384976526,3.3333333333333335,2.7699530516431925
National laboratory,9,4.225352112676056,6.25,-2.024647887323944
Government,6,2.8169014084507045,3.3333333333333335,-0.516431924882629
Non-profit organization,4,1.8779342723004695,,
