Highest level of education for United States,Count,Percentage,Percentage in 2017,Difference with previous year
Doctorate,67,45.57823129251701,60.122699386503065,-14.544468093986055
Master degree,46,31.292517006802722,25.153374233128833,6.139142773673889
Undergraduate degree,33,22.448979591836736,11.65644171779141,10.792537874045326
Other,1,0.6802721088435374,0.6134969325153374,0.06677517632819996
