Citation of software for World,Count,Percentage
1 (None at all),,
2,4.0,9.75609756097561
3,2.0,4.878048780487805
4,1.0,2.4390243902439024
5,3.0,7.317073170731707
6,,
7,4.0,9.75609756097561
8,5.0,12.195121951219512
9,1.0,2.4390243902439024
10 (All the time),16.0,39.02439024390244
