developing code for others for Germany,Count,Percentage,Percentage in 2017,Difference with previous year
0 - Mostly me,30,9.00900900900901,8.307692307692308,0.701316701316701
1,55,16.516516516516518,20.923076923076923,-4.406560406560406
2,66,19.81981981981982,22.46153846153846,-2.64171864171864
3,63,18.91891891891892,16.0,2.9189189189189193
4,56,16.816816816816818,16.615384615384617,0.2014322014322012
5 - Mostly other people,63,18.91891891891892,15.692307692307692,3.2266112266112277
