Number of software projects for South Africa,Count,Percentage,Percentage in 2017,Difference with previous year
0.0,3,15.0,,
1.0,2,10.0,13.333333333333334,-3.333333333333334
2.0,2,10.0,26.666666666666668,-16.666666666666668
3.0,8,40.0,20.0,20.0
4.0,1,5.0,13.333333333333334,-8.333333333333334
5.0,1,5.0,13.333333333333334,-8.333333333333334
6.0,1,5.0,,
8.0,1,5.0,6.666666666666667,-1.666666666666667
11.0,1,5.0,,
