Organisation type for Australia,Count,Percentage
University,54,54.54545454545454
National laboratory,21,21.21212121212121
Government,13,13.131313131313133
Non-profit organization,8,8.080808080808081
Other,2,2.0202020202020203
Private company,1,1.0101010101010102
