Citation of software for United States,Count,Percentage
1 (None at all),,
2,8.0,5.797101449275362
3,8.0,5.797101449275362
4,8.0,5.797101449275362
5,16.0,11.594202898550725
6,4.0,2.898550724637681
7,10.0,7.246376811594203
8,13.0,9.420289855072465
9,9.0,6.521739130434782
10 (All the time),31.0,22.463768115942027
