Reasons to choose current job,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8
Desire to work in a research environment,24.22360248447205,15.527950310559005,14.953271028037381,8.09968847352025,7.187499999999999,,,
Freedom to choose own working practices,23.91304347826087,16.77018633540373,14.953271028037381,9.034267912772584,13.4375,,,
Desire to advance research,16.459627329192546,12.732919254658384,8.09968847352025,9.345794392523365,7.187499999999999,,,
I want to learn new skills,12.732919254658384,13.354037267080745,15.264797507788161,15.57632398753894,14.6875,,,
Opportunity to develop software,8.385093167701864,13.975155279503104,14.953271028037381,10.59190031152648,9.6875,,,
Opportunity for career advancement,4.658385093167702,4.037267080745342,7.476635514018691,7.476635514018691,7.187499999999999,,,
Ability to work across disciplines,3.4161490683229814,11.801242236024844,9.034267912772584,14.953271028037381,12.5,,,
Flexible working hours,3.4161490683229814,9.627329192546584,11.838006230529595,17.445482866043612,18.4375,,,
The salary,2.7950310559006213,2.1739130434782608,3.4267912772585665,7.476635514018691,9.6875,,,
