Number of software projects for United States,Count,Percentage,Percentage in 2017,Difference with previous year
0.0,2,1.5267175572519083,2.054794520547945,-0.5280769632960367
1.0,17,12.977099236641221,13.013698630136986,-0.03659939349576469
2.0,37,28.24427480916031,20.54794520547945,7.696329603680859
3.0,29,22.137404580152673,32.19178082191781,-10.054376241765137
4.0,14,10.687022900763358,8.21917808219178,2.467844818571578
5.0,17,12.977099236641221,11.643835616438356,1.3332636202028656
6.0,5,3.816793893129771,2.054794520547945,1.7619993725818262
7.0,1,0.7633587786259541,2.054794520547945,-1.2914357419219908
8.0,2,1.5267175572519083,2.054794520547945,-0.5280769632960367
10.0,4,3.0534351145038165,2.73972602739726,0.31370908710655643
12.0,1,0.7633587786259541,0.684931506849315,0.07842727177663911
14.0,1,0.7633587786259541,0.684931506849315,0.07842727177663911
20.0,1,0.7633587786259541,0.684931506849315,0.07842727177663911
