developing code for others for United Kingdom,Count,Percentage,Percentage in 2017,Difference with previous year
0 - Mostly me,13,5.508474576271186,2.8455284552845526,2.6629461209866334
1,27,11.440677966101696,13.821138211382115,-2.3804602452804193
2,45,19.06779661016949,12.601626016260163,6.466170593909329
3,37,15.677966101694915,15.447154471544716,0.23081163015019968
4,41,17.372881355932204,24.390243902439025,-7.017362546506821
5 - Mostly other people,73,30.93220338983051,30.89430894308943,0.03789444674107756
