Highest level of education for Germany,Count,Percentage,Percentage in 2017,Difference with previous year
Master degree,169,50.903614457831324,43.07692307692308,7.826691380908244
Doctorate,133,40.06024096385542,48.30769230769231,-8.247451343836886
Undergraduate degree,19,5.72289156626506,4.615384615384616,1.1075069508804445
"Final secondary-school examinations, general qualification for university entrance",7,2.108433734939759,1.5384615384615385,0.5699721964782205
Other,4,1.2048192771084338,2.1538461538461537,-0.9490268767377199
