Open source use for World,Count,Percentage
1 (None at all),,
2,,
3,2.0,4.878048780487805
4,,
5,2.0,4.878048780487805
6,,
7,2.0,4.878048780487805
8,3.0,7.317073170731707
9,1.0,2.4390243902439024
10 (All the time),28.0,68.29268292682927
