Did you participate in conference for United Kingdom,Count,Percentage,Percentage in 2017,Difference with previous year
Yes,121,58.17307692307693,57.826086956521735,0.3469899665551921
No,87,41.82692307692308,42.173913043478265,-0.346989966555185
