Citation of software for United Kingdom,Count,Percentage
1 (None at all),,
2,8.0,3.7383177570093453
3,8.0,3.7383177570093453
4,8.0,3.7383177570093453
5,26.0,12.149532710280374
6,17.0,7.943925233644859
7,14.0,6.5420560747663545
8,22.0,10.2803738317757
9,11.0,5.14018691588785
10 (All the time),73.0,34.112149532710276
